Customer_ID,Age,Annual_Income,Total_Spend,Years_as_Customer,Num_of_Purchases,Average_Transaction_Amount,Num_of_Returns,Num_of_Support_Contacts,Satisfaction_Score,Last_Purchase_Days_Ago,Target_Churn,Gender_Male,Gender_Other,Promotion_Response_Responded,Promotion_Response_Unsubscribed,Email_Opt_In_True,Return_Ratio,Purchase_Frequency,Promotion_Response_Score,Email_Opt_In_Score,Engagement_Score,CLV,Intervention_Cost
1,62,45.15,5892.58,5,22,453.8,2,0,3,129,True,False,True,True,False,True,0.09090909090909091,0.17054263565891473,3,1,4,386.9612403100775,50
2,65,79.51,9025.47,13,77,22.9,2,2,3,227,False,True,False,True,False,False,0.025974025974025976,0.3392070484581498,3,0,3,100.98193832599118,50
3,18,29.19,618.83,13,71,50.53,5,2,2,283,True,True,False,True,False,False,0.07042253521126761,0.2508833922261484,3,0,3,164.80279151943463,50
4,21,79.63,9110.3,3,33,411.83,5,3,5,226,True,False,True,False,False,True,0.15151515151515152,0.14601769911504425,1,1,2,180.403407079646,50
5,21,77.66,5390.88,15,43,101.19,3,0,5,242,False,False,True,False,True,False,0.06976744186046512,0.17768595041322313,0,0,0,269.7006198347107,50
6,57,190.43,255.19,19,85,417.78,5,1,4,130,False,True,False,False,True,False,0.058823529411764705,0.6538461538461539,0,0,0,5190.113076923077,50
7,27,172.13,3512.55,3,77,316.18,0,3,1,61,False,True,False,False,True,True,0.0,1.2622950819672132,0,1,1,1197.3373770491803,50
8,37,88.9,7270.9,4,87,63.61,3,4,3,224,False,False,True,False,False,False,0.034482758620689655,0.38839285714285715,1,0,1,98.82267857142857,50
9,39,24.46,4935.49,1,21,173.8,9,2,4,126,True,False,True,True,False,True,0.42857142857142855,0.16666666666666666,3,1,4,28.96666666666667,50
10,68,169.59,9803.57,17,34,481.18,6,1,2,171,False,False,True,False,True,True,0.17647058823529413,0.19883040935672514,0,1,1,1626.444678362573,50
11,54,138.9,4283.84,15,33,96.55,9,1,2,92,False,True,False,True,False,True,0.2727272727272727,0.358695652173913,3,1,4,519.4809782608695,50
12,41,47.43,3333.69,4,10,212.58,0,0,2,213,True,False,False,True,False,False,0.0,0.046948356807511735,3,0,3,39.92112676056338,50
13,24,199.29,8234.55,1,60,160.58,2,1,5,276,False,False,True,False,False,False,0.03333333333333333,0.21739130434782608,1,0,1,34.90869565217392,50
14,42,38.04,5524.28,12,4,259.81,5,4,2,212,True,False,False,False,False,False,1.25,0.018867924528301886,1,0,1,58.82490566037736,50
15,42,176.08,6855.03,17,64,222.85,6,0,1,125,True,False,False,False,False,False,0.09375,0.512,1,0,1,1939.6864,50
16,30,72.97,8076.45,9,63,466.61,5,0,3,304,False,True,False,False,True,False,0.07936507936507936,0.20723684210526316,0,0,0,870.2890460526316,50
